cohort_month,month_index,active_customers,retention_rate
2018-02-01,6,13,0.0021
2018-03-01,0,6774,1.0000
2018-03-01,1,27,0.0040
2018-03-01,2,20,0.0030
2018-03-01,3,20,0.0030
2018-03-01,4,8,0.0012
2018-03-01,5,8,0.0012
2018-04-01,0,6582,1.0000
2018-04-01,1,39,0.0059
2018-04-01,2,20,0.0030
2018-04-01,3,16,0.0024
2018-04-01,4,9,0.0014
2018-05-01,0,6506,1.0000
2018-05-01,1,34,0.0052
2018-05-01,2,17,0.0026
2018-05-01,3,12,0.0018
2018-06-01,0,5878,1.0000
2018-06-01,1,25,0.0043
2018-06-01,2,16,0.0027
2018-07-01,0,5949,1.0000
2018-07-01,1,31,0.0052
2018-08-01,0,6144,1.0000
