seller_id,total_revenue
4869f7a5dfa277a7dca6462dcf3b52b2,249640.70
7c67e1448b00f6e969d365cea6b010ab,239536.44
53243585a1d6dc2643021fd1853d8905,235856.68
4a3ca9315b744ce9f8e9374361493884,235539.96
fa1c13f2614d7b5c4749cbc52fecda94,204084.73
da8622b14eb17ae2831f4ac5b9dab84a,185192.32
7e93a43ef30c4f03f38b393420bc753a,182754.05
1025f0e2d44d7041d6cf58b6550e0bfa,172860.69
7a67c85e85bb2ce8582c35f2203ad736,162648.38
955fee9216a65b617aa5c0531780ce60,160602.68
