category,avg_review_score
"Books_General_Interest",4.45
"Books_Technical",4.37
"Food_Drink",4.32
"Luggage_Accessories",4.32
"Fashion_Shoes",4.23
"Food",4.22
"Stationery",4.19
"Pet_Shop",4.19
"Computers",4.18
"Home_Appliances",4.17
"Perfumery",4.16
"Toys",4.16
"Musical_Instruments",4.15
"Cool_Stuff",4.15
"Small_Appliances",4.15
