category,total_items_sold
"Bed_Bath_Table",11115
"Health_Beauty",9670
"Sports_Leisure",8641
"Furniture_Decor",8334
"Computers_Accessories",7827
"Housewares",6964
"Watches_Gifts",5991
"Telephony",4545
"Garden_Tools",4347
"Auto",4235
"Toys",4117
"Cool_Stuff",3796
"Perfumery",3419
"Baby",3065
"Electronics",2767
