customer_state,avg_review_score,total_reviews
"AP",4.19,67
"PR",4.18,5038
"AM",4.18,147
"SP",4.17,41688
"MG",4.14,11624
"RS",4.13,5483
"MS",4.12,724
"RN",4.11,482
"MT",4.10,903
"TO",4.10,279
"AC",4.08,80
"SC",4.07,3623
"DF",4.06,2148
"RO",4.05,252
"ES",4.04,2016
"GO",4.04,2024
"PB",4.02,531
"PE",4.01,1645
"PI",3.92,491
"RJ",3.87,12765
"BA",3.86,3357
"PA",3.85,968
"CE",3.85,1329
"SE",3.81,349
"MA",3.76,746
"AL",3.75,414
"RR",3.61,46
