customer_unique_id,first_order_date,last_order_date
b7d76e111c89f7ebf14761390f0f7d17,"2016-09-04 21:15:19","2016-09-04 21:15:19"
4854e9b3feff728c13ee5fc7d1547e92,"2016-09-05 00:15:34","2016-09-05 00:15:34"
009b0127b727ab0ba422f6d9604487c7,"2016-09-13 15:24:19","2016-09-13 15:24:19"
830d5b7aaa3b6f1e9ad63703bec97d23,"2016-09-15 12:16:38","2016-09-15 12:16:38"
0eb1ee9dba87f5b36b4613a65074337c,"2016-10-02 22:07:52","2016-10-02 22:07:52"
32ea3bdedab835c3aa6cb68ce66565ef,"2016-10-03 09:44:50","2018-06-28 11:46:04"
2f64e403852e6893ae37485d5fcacdaf,"2016-10-03 16:56:50","2016-10-03 16:56:50"
b8b8726af116a5cfb35b0315ecef9172,"2016-10-03 21:01:41","2016-10-03 21:01:41"
61db744d2f835035a5625b59350c6b63,"2016-10-03 21:13:36","2016-10-03 21:13:36"
8d3a54507421dbd2ce0a1d58046826e0,"2016-10-03 22:06:03","2016-10-03 22:06:03"
87776adb449c551e74c13fc34f036105,"2016-10-03 22:31:31","2016-10-03 22:31:31"
7390ed59fa1febbfda31a80b4318c8cb,"2016-10-03 22:44:10","2016-10-03 22:44:10"
10e89fd8e5c745f81bec101207ba4d7d,"2016-10-03 22:51:30","2016-10-03 22:51:30"
cd5a5843d35eebdf90368bf24d4a04cf,"2016-10-04 09:06:10","2016-10-04 09:06:10"
14359ea0c7a105749c0a56478825b015,"2016-10-04 09:16:33","2016-10-04 09:16:33"
