zip_code,city_count
13454,4
17970,4
45936,4
65935,4
89610,4
6900,3
9780,3
13318,3
13450,3
13453,3
13455,3
13456,3
13457,3
13855,3
15650,3
15720,3
15735,3
15780,3
25936,3
27163,3
