order_id,delay_days
c5222412ad9d123721c453c7c21a6cfa,50
29e0119d96b893bbfd5ecea741a06835,50
f967b3b4e10db096bfc62535abb40d43,50
7c0b9b2385b65bd8c7aa778a843155e9,50
8a7679380ddbbbe7495aa2d1cafd515b,50
7c7b51735653e5eabc93b37b0f454428,49
9570e7230d3d4ecaacbc7843e6646b33,49
b2997e1d7061605e9285496c581d1fbd,49
3a221cd6b7d813e2b6cf57339f37a062,49
9ab0996e3fa56c0c453bdaa598164273,49
121191d52387cd00dc63011edaeb8af2,49
f31535f21d145b2345e2bf7f09d62322,49
81f2ee7669eee05b13906d24d43ebc69,49
5a34dfccd6fb223c870ad34652d64274,49
fc74153e0ac39bb68c8f8f9e4758f001,49
24ca685e5655ee79182c18a5f5b1510d,49
98cdb0b0199939368746cb2beba58efe,48
1e12d5b3e0bc11aa9db357373ccde6f8,48
c595bbefb93ccf827f9dd4b7c3f25785,48
bac5252be9b1269976695ebd118ef43d,48
beebcdb81ca8d717ee63fbee85b1826e,48
56af0400ccac703cca01cd9846d29c58,48
ce3a36c0bcc4edf5c49a0a29b3da3963,48
e115da7a49ec2acf622e1f31da65cfb9,48
cafc9b2f7d35ec42bdb74347cc6e8a70,47
c1ce7c20699d83bcfb424c8e800a1788,47
df81dcb40098fb783a6525fa2f868bc9,47
f2c9428d2c7720cb4e9f2a9634673ce6,47
982721650f1a226d3b11b4d852d461d2,47
8f9005e33af4e9098cb514dd5f44b0bb,47
8311aa3b9c474639d7f344868c3fe150,46
64fee01b4774a493de37aafa79a3d434,46
f09ab7ba678ff9971a9e9b52999030ea,46
87f795f6abd4bbe786854091a9c6e651,46
f23681a0fffdb8051c674707c7e912ef,46
23a0c1ef37b1e2599235e834bbb55673,46
f359fa9d20251af793b9b9704c9b3f47,45
b77b82b683e9956ecdf55514de3d1f1d,45
6fd33c34a877e5a474ed190b5738ab58,45
0d103d6504de00ed0c99969517a9ad52,45
fd84aa1fc4c825c367cbb777d82e5a2a,45
8b41e34451a7b359ebae366d22e4abd4,45
039ec885e36627ae6353cfd42a41c5da,45
e706765d0ab55ce790c7713ddc4e1ecf,44
8e81e473c93d414e73105233e248347b,44
ed9a73914b6e0fca8d1b8939f2c41879,44
6225c94031a1e372349fa17f1891317d,43
756893c5dc2102b9555b660dffb03813,43
d86c683d3790be2beffa016e4140940d,43
d2d8c96cdc3a00c418d2a5539e598add,43
5687858ec96eba8c66c04d8a08ff4e42,43
866314550f6d7a55c82917d9b4463e1f,43
b372525f79a03a4f4c7f33e311e3a6eb,43
4530ebf341c28451b56c66fc4d70f8eb,43
607eee584aa2eb64b8e9464c5e590efc,42
814fe5df303b0c72aeddb331dbfe9802,42
2e62dadd571541842fefc7c3b4bf4527,42
b7aa6fd1a55a501926e5f7253617ac90,42
85aa425106ebd563ef29f08d6cb0f4d0,42
408d3b25332b720d54aeb8503549722e,42
33797bbcfc4f22d40110f77692f83c78,42
5178acb217f7a75ee85a3dd00eacdad7,42
48cefe210d7a04f470fd6592ea91ffb9,42
63fd40b25ac9dbeea8ec6b26558a1add,42
a27f3aab93e8f43407c0fe4296f475c1,41
01f67ca8027e959060afd840aa06f465,41
